phrase_id,language,text,noise_level,is_distress,confidence_label,detected_entities
DP000001,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000002,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000003,si,මාව හිරිහැරයට ලක් කළා,0.08,1,0.99,locations=[];threats=[]
DP000004,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000005,en,Visited the temple in Kandy,0.0,0,0.85,locations=[];threats=[]
DP000006,en,Taking a tuk-tuk tour of Colombo,0.08,0,0.83,locations=[];threats=[]
DP000007,si,උදව් කරන්න මට භයනක් දෙයක් වෙනවා,0.02,1,0.78,locations=[];threats=[]
DP000008,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000009,ta,உணவகத்தில் சாப்பிட்டேன்,0.03,0,0.87,locations=[];threats=[]
DP000010,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000011,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
DP000012,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000013,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000014,ta,கொள்ளை அடிக்கப்பட்டேன் போலீஸ் அழைக்கவும்,0.32,1,0.84,locations=[];threats=[]
DP000015,es,Alguien me está siguiendo,0.06,1,0.89,locations=[];threats=[]
DP000016,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000017,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000018,en,Stolen passport need embassy help,0.44,1,0.97,locations=[];threats=['stolen']
DP000019,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000020,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000021,ta,உதவுங்கள் என்னை யாரோ பின்தொடர்கிறார்கள்,0.41,1,0.77,locations=[];threats=[]
DP000022,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000023,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000024,ar,ساعدني من فضلك أنا في خطر,0.16,1,0.92,locations=[];threats=[]
DP000025,ar,ساعدني من فضلك أنا في خطر,0.16,1,0.92,locations=[];threats=[]
DP000026,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000027,en,My friend is unconscious call ambulance,0.17,1,0.9,locations=[];threats=[]
DP000028,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000029,ta,நண்பர் மயக்கமடைந்துள்ளார் ஆம்புலன்ஸ் அழைக்கவும்,0.3,1,0.89,locations=[];threats=[]
DP000030,si,මිතුරා අසනීප ඇම්බියුලන්ස් කතා කරන්න,0.2,1,0.76,locations=[];threats=[]
DP000031,en,Stolen passport need embassy help,0.44,1,0.97,locations=[];threats=['stolen']
DP000032,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000033,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000034,si,උදව් කරන්න මට භයනක් දෙයක් වෙනවා,0.02,1,0.78,locations=[];threats=[]
DP000035,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000036,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000037,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000038,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000039,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000040,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000041,ta,பாதுகாப்பற்று உணர்கிறேன்,0.07,1,0.82,locations=[];threats=[]
DP000042,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000043,en,Checking in to my hotel now,0.17,0,0.96,locations=[];threats=[]
DP000044,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000045,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000046,si,මම බිය වෙලා ඉන්නවා,0.05,1,0.89,locations=[];threats=[]
DP000047,en,Help me please I am in danger,0.1,1,0.77,locations=[];threats=['danger']
DP000048,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000049,ar,شخص ما يتبعني,0.09,1,0.86,locations=[];threats=[]
DP000050,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000051,ta,உணவகத்தில் சாப்பிட்டேன்,0.03,0,0.87,locations=[];threats=[]
DP000052,de,Jemand folgt mir,0.17,1,0.98,locations=[];threats=[]
DP000053,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000054,ko,누군가 저를 따라오고 있습니다,0.01,1,0.8,locations=[];threats=[]
DP000055,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000056,ta,இன்று கடற்கரை மிகவும் அழகாக உள்ளது,0.13,0,0.98,locations=[];threats=[]
DP000057,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000058,si,දිනන ලද ගෙවීමකින් උදව් ඕනා,0.28,1,0.88,locations=[];threats=[]
DP000059,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000060,ta,பாதுகாப்பற்று உணர்கிறேன்,0.07,1,0.82,locations=[];threats=[]
DP000061,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000062,en,Checking in to my hotel now,0.17,0,0.96,locations=[];threats=[]
DP000063,fr,Au secours quelqu'un me suit,0.21,1,0.77,locations=[];threats=[]
DP000064,zh,有人跟踪我,0.25,1,0.82,locations=[];threats=[]
DP000065,en,I feel unsafe send help,0.03,1,0.95,locations=[];threats=['unsafe']
DP000066,si,මාව හිරිහැරයට ලක් කළා,0.08,1,0.99,locations=[];threats=[]
DP000067,en,Drunk driver almost hit me,0.16,1,0.75,locations=[];threats=[]
DP000068,ta,நண்பர் மயக்கமடைந்துள்ளார் ஆம்புலன்ஸ் அழைக்கவும்,0.3,1,0.89,locations=[];threats=[]
DP000069,en,Enjoyed a great meal at a local restaurant,0.07,0,0.82,locations=[];threats=[]
DP000070,de,Jemand folgt mir,0.17,1,0.98,locations=[];threats=[]
DP000071,en,I have been robbed call police now,0.3,1,0.83,locations=[];threats=[]
DP000072,en,Emergency I need help immediately,0.2,1,0.88,locations=[];threats=['emergency']
DP000073,en,The beach in Mirissa is beautiful today,0.09,0,0.83,locations=[];threats=[]
DP000074,zh,救命我有危险,0.31,1,0.89,locations=[];threats=[]
DP000075,ta,இன்று கடற்கரை மிகவும் அழகாக உள்ளது,0.13,0,0.98,locations=[];threats=[]
